Index	Label
738	convenir
739	iras
740	mieux
741	quelques
742	répondu
743	tôt
744	prendrons
745	soin
746	désobéi
747	expliquerais
748	cerveau
749	exploserait
750	changeront
751	remerciera
752	parlé
753	dieu
754	sait
755	reçu
756	shampoing
757	yeux
758	famille
759	loge
760	là
761	petit
762	appartement
763	malpropre
764	tel
765	mena
766	éteignez
767	lumière
768	rendre
769	trop
770	bu
771	compris
772	mot
773	disaient
774	entendu
775	décevant
776	saisissez
777	corde
778	concert
779	bientôt
780	prenez
781	demi-tour
782	dommage
783	puissiez
784	venir
785	dépêches
786	attraperas
787	bus
788	gratuit
789	arrêtez
790	voulait
791	visage
792	langue
793	morte
794	peut-elle
795	vivre
796	tenu
797	promesse
798	disposons-nous
799	pratique
800	constitue
801	meilleur
802	enseignant
803	garçons
804	travaillaient
805	dur
806	peine
807	inscrite
808	registre
809	hôtel
810	appelée
811	voisine
812	courtoises
813	mangea
814	reste
815	pizza
816	ôter
817	pensées
818	long
819	voyage
820	studieux
821	raconta
822	nombreuses
823	épreuves
824	lève
825	devient
826	chère
827	né
828	messieurs
829	a-t-il
830	servi
831	monsieur
832	devrions
833	prendra
834	pelleter
835	toit
836	cigarette
837	match
838	rugby
839	corps
840	contusion
841	allé
842	voir
843	police
844	près
845	celle
846	gosses
847	veulent
848	participer
849	aux
850	jeux
851	olympiques
852	réveillez-vous
853	partez
854	serez
855	assurément
856	levais
857	enfance
858	réfléchi
859	propos
860	pauvre
861	type
862	séjourné
863	regrette
864	profondément
865	décision
866	extrêmement
867	confidentiel
868	preuve
869	organe
870	gigantesque
871	trouve
872	derrière
873	poser
874	questions
875	entrer
876	recommanda
877	emprunter
878	argent
879	amis
880	durer
881	longtemps
882	malheur
883	satisfait
884	pensé
885	bois
886	détendre
887	assise
888	cuisine
889	boire
890	veuille
891	prendre
892	efficace
893	comprendre
894	expier
895	agréable
896	moment
897	entretenir
898	vaut
899	essayer
900	acceptent
901	restée
902	rappelles-tu
903	rencontrés
904	indélicats
905	films
906	américains
907	veinard
908	formée
909	comptez
910	voilà
911	donnez-moi
912	seconde
913	grotesque
914	aimait
915	sucreries
916	jacuzzis
917	époque
918	confronté
919	graves
920	problèmes
921	économiques
922	mouiller
923	pieds
924	sois
925	aveugle
926	amuserais
927	dites-nous
928	vérité
929	voulais
930	sentir
931	chez
932	vendent
933	bière
934	vis
935	envie
936	tomberont
937	prétendent
938	mentent
939	tourne
940	gauche
941	aie
942	oranges
943	aimes-tu
944	campagne
945	feu
946	immédiatement
947	éteint
948	énorme
949	fortune
950	femme
951	sauvegardé
952	document
953	pendant
954	parle
