Index	Label	Frequency
1519	cooking	99
1520	suffering	36
1521	hypoxia	2
1522	run	324
1523	throat	25
1524	swallow	6
1525	horses	39
1526	basketball	26
1527	bottom	34
1528	frightened	50
1529	enjoying	43
1530	rested	23
1531	handed	40
1532	mike	1
1533	superb	5
1534	far-fetched	2
1535	growling	2
1536	probably	279
1537	likely	110
1538	maybe	248
1539	draw	45
1540	map	78
1541	revenge	11
1542	stock	41
1543	prices	76
1544	plunged	2
1545	record	34
1546	low	58
1547	winning	48
1548	treating	19
1549	goes	190
1550	without	668
1551	suppose	130
1552	invaded	8
1553	danes	1
1554	otherwise	19
1555	weeks	104
1556	spider	11
1557	spinning	4
1558	its	169
1559	web	31
1560	nights	7
1561	discourage	7
1562	whichever	21
1563	attacked	34
1564	delayed	31
1565	account	60
1566	weather	309
1567	expected	165
1568	computer'	5
1569	acting	80
1570	goodbye	61
1571	lines	31
1572	okay	26
1573	oriental	5
1574	meaning	61
1575	stuff	96
1576	race	48
1577	imagine	64
1578	electricity	29
1579	bored	78
1580	cost	203
1581	laid	35
1582	leaned	16
1583	grateful	48
1584	stopped	186
1585	battery	20
1586	emergency	50
1587	mail	89
1588	couple	115
1589	exactly	288
1590	allow	90
1591	drove	40
1592	truck	65
1593	dallas	3
1594	remain	50
1595	greedy	14
1596	wind	68
1597	continue	81
1598	commotion	6
1599	visited	70
1600	ourselves	55
1601	succeed	114
1602	close	306
1603	beginning	103
1604	interest	58
1605	historians	2
1606	return	89
1607	escaped	63
1608	immediate	12
1609	paintings	33
1610	biggest	28
1611	concern	30
1612	yes	87
1613	focusing	4
1614	color	111
1615	stink	6
1616	choose	145
1617	objections	4
1618	ukulele	1
1619	medic	4
1620	washed	56
1621	watched	84
1622	could'	101
1623	decline	10
1624	offer	155
1625	pies	8
1626	oven	26
1627	alarmed	12
1628	box	221
1629	missing	81
1630	classes	21
1631	resume	9
1632	again	1092
1633	pan	6
1634	abroad	126
1635	someday	51
1636	jupiter	3
1637	planet	27
1638	shame	33
1639	produced	5
1640	cars	80
1641	cheered	12
1642	anybody	329
1643	mountains	29
1644	bigger	73
1645	trusted	56
1646	intimidate	5
1647	foreign	111
1648	squashed	3
1649	insect	4
1650	heel	2
1651	fishing	104
1652	international	15
1653	cooperate	18
1654	driving	132
1655	quickly	210
1656	shut	162
1657	bitten	29
1658	budget	22
1659	wounded	34
1660	earrings	7
1661	dating	47
1662	spot	36
1663	choice	217
1664	diamond	15
1665	arm	115
1666	leg	83
1667	vacation	134
1668	terrific	29
1669	fears	3
1670	carried	54
1671	buckets	4
1672	debate	21
1673	same-sex	5
1674	marriage	40
1675	introduced	47
1676	fast	279
1677	slowly	85
1678	lied	108
1679	moan	2
1680	groan	2
1681	spread	37
1682	faster	88
1683	explained	68
1684	person	417
1685	suffers	6
1686	disease	46
1687	wore	47
1688	heart-shaped	2
1689	standard	6
1690	misjudged	16
1691	seems	434
1692	hiding	70
1693	stove	15
1694	railway	9
1695	tokyo	119
1696	lenses	6
1697	novel	111
1698	published	33
1699	convinced	97
1700	graduates	5
1701	exit	15
1702	jokes	45
1703	perfect	172
1704	clearly	61
1705	wise	59
1706	match	65
1707	owe	136
1708	protect	87
1709	fled	8
1710	fear	86
1711	response	14
1712	act	110
1713	heights	11
1714	finish	249
1715	dinner	419
1716	manual	15
1717	automatic	3
1718	sent	168
1719	penalty	7
1720	aside	36
1721	totally	69
1722	irresponsible	15
1723	belongs	50
1724	crying	149
1725	arrive	123
1726	faithful	11
1727	4	24
1728	engineer	14
1729	parted	4
1730	miss	244
1731	fight	131
1732	easiest	6
1733	dated	8
1734	taller	85
1735	amazed	17
1736	audacity	1
1737	certainly	66
1738	impression	33
1739	planning	105
1740	doctors	36
1741	discovered	29
1742	startling	2
1743	facts	51
1744	beg	35
1745	newspaper	102
1746	magazine	45
1747	examined	20
1748	spare	38
1749	parts	17
1750	germany	26
1751	powerful	33
1752	army	40
1753	tallest	25
1754	silver	22
1755	coins	23
1756	cautious	22
1757	ridiculous	32
1758	hailing	1
1759	cab	35
1760	manhattan	1
1761	p	22
1762	raised	44
1763	objection	19
1764	argument	35
1765	defeated	16
1766	flies	17
1767	arrow	15
1768	stood	83
1769	walked	161
1770	cats	123
1771	dogs	176
1772	atomic	11
1773	hydrogen	6
1774	turned	286
1775	forth	3
1776	staring	53
1777	candles	26
1778	supposed	300
1779	hates	85
1780	running	166
1781	politely	16
1782	line	104
1783	americans	49
1784	gold	55
1785	majoring	3
1786	since	392
1787	dishes	61
1788	father'	70
1789	medications	5
1790	pleasure	45
1791	older	227
1792	separately	9
1793	respond	25
1794	genuinely	5
1795	spouse	8
1796	driver'	41
1797	license	65
1798	heat	64
1799	canadian	90
1800	timid	27
